LevelId,Filename,Area_Name,Name,Pos,Rotate,DestinationLevel,Type
,arena_001,,ProximityTrigger2,"1405.325,782.12323,42.613899","0.99984771,0,0,0.017452406",0,ProximityTrigger
,arena_001,,CatHandCartPoint,"634.28137,870.6134,30.067167","-0.14780954,0,0,0.98901582",,MHPlayerSpawnPoint
,arena_001,,DM_140053_GuardArea,"1406.1704,766.53558,30.008833",,0,ProximityTrigger
,arena_001,,ProximityTrigger3,"1406.4243,704.45892,33.699863",,0,ProximityTrigger
,arena_001,,ProximityTrigger_startLayer01,"1406.2051,703.46539,29.474567",,0,ProximityTrigger
,arena_001,,ProximityTrigger5,"1406.4496,704.23041,32.5",,0,ProximityTrigger
,arena_001,,DM_140051_GuardArea,"1407.1412,704.62292,30",,0,ProximityTrigger
,arena_001,,EnterDetective,"1406.4313,700.35248,29.061367",,0,ProximityTrigger
,arena_001,,Start_Trigger,"1406.3203,704.07025,31.976784",,0,ProximityTrigger
,arena_001,,ProximityTrigger4,"1407.1578,703.12128,32.504044",,0,ProximityTrigger
,arena_001,,MHPlayerSpawnPoint2,"1406.3965,704.26306,30.134357",,,MHPlayerSpawnPoint
,arena_001,,MHPlayerSpawnPoint1,"636.34003,850.8631,30",,,MHPlayerSpawnPoint
,arena_002,,MHPlayerSpawnPoint6,"745.71277,1214.595,1676.5737","-4.3711388e-008,0,0,1",,MHPlayerSpawnPoint
,arena_002,,MHPlayerSpawnPoint5,"749.71277,1214.595,1676.5737","-4.3711388e-008,0,0,1",,MHPlayerSpawnPoint
,arena_002,,MHPlayerSpawnPoint3,"742.71277,1091.595,1676.5737",,,MHPlayerSpawnPoint
,arena_002,,MHPlayerSpawnPoint1,"734.71277,1091.595,1676.5737",,,MHPlayerSpawnPoint
,arena_002,,MHPlayerSpawnPoint2,"738.71277,1091.595,1676.5737",,,MHPlayerSpawnPoint
,arena_002,,MHPlayerSpawnPoint4,"746.71277,1091.595,1676.5737",,,MHPlayerSpawnPoint
,arena_002,,MHPlayerSpawnPoint9,"743.71277,1212.095,1676.5737","-4.3711388e-008,0,0,1",,MHPlayerSpawnPoint
,arena_002,,MHPlayerSpawnPoint8,"736.71277,1214.595,1676.5737","-4.3711388e-008,0,0,1",,MHPlayerSpawnPoint
,arena_002,,MHPlayerSpawnPoint7,"741.71277,1214.595,1676.5737","-4.3711388e-008,0,0,1",,MHPlayerSpawnPoint
,arena_003,,ProximityTrigger1,"45.241947,22.075991,2.9653578",,0,ProximityTrigger
,arena_003,,MHPlayerSpawnPoint_Initial,"45.28175,22.180183,1.1663437",,,MHPlayerSpawnPoint
,arena_004,,MHPlayerSpawnPoint11_12,"3408.6362,2536.1196,50.536697","1,0,0,2.3664143e-007",,MHPlayerSpawnPoint
